CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR
CERTIFIED,UST GLOBAL INC.,MARKETING MANAGERS,SENIOR ACCOUNT DIRECTOR,Y,106330.0,2016
CERTIFIED,SPECTRAMD USA INC.,MARKETING MANAGERS,SENIOR CLINICAL ACCOUNT MANAGER,Y,89440.0,2016
CERTIFIED,"CVS PHARMACY, INC.",MARKETING MANAGERS,"MERCHANDISING DIRECTOR, STRATEGY & PROFITABILITY",Y,156957.0,2016
CERTIFIED,SEGA NETWORKS INC.,MARKETING MANAGERS,SENIOR BUSINESS DEVELOPMENT MANAGER,Y,149656.0,2016
CERTIFIED,"B/E AEROSPACE, INC.",MARKETING MANAGERS,"MANAGER, MARKETING & COMMUNICATIONS",Y,81744.0,2016
CERTIFIED,GOGO LLC,MARKETING MANAGERS,PRODUCT MANAGER,Y,94245.0,2016
CERTIFIED,"GRAMMARLY, INC.",MARKETING MANAGERS,PRODUCT MANAGER,Y,222976.0,2016
CERTIFIED,TOCA BOCA INC.,MARKETING MANAGERS,DIRECTOR OF BUSINESS DEVELOPMENT,Y,113006.0,2016
CERTIFIED,"CITTA NUOVA, LLC",MARKETING MANAGERS,MARKETING MANAGER,Y,72675.0,2016
CERTIFIED,KOVER CORPORATION,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,N,60777.6,2016
CERTIFIED,"CYBERONICS, INC.",MARKETING MANAGERS,"DIRECTOR, BUSINESS DEVELOPMENT & STRATEGY",Y,127899.0,2016
CERTIFIED,GOLDMAN SACHS BANK USA,MARKETING MANAGERS,VICE PRESIDENT/INTERMEDIATE ASSOCIATE,Y,185224.0,2016
CERTIFIED,FETCH MEDIA INC.,MARKETING MANAGERS,GLOBAL ACCOUNT DIRECTOR,Y,113006.0,2016
CERTIFIED,"GILT CITY, INC.",MARKETING MANAGERS,"DIRECTOR, STRATEGY & PLANNING",Y,147243.0,2016
CERTIFIED,"SAMSUNG ELECTRONICS AMERICA, INC.",MARKETING MANAGERS,DIRECTOR OF CUSTOMER INSIGHTS & ANALYTICS I,Y,170082.0,2016
CERTIFIED-WITHDRAWN,"GT NEXUS, INC.",MARKETING MANAGERS,"PRODUCT MANAGER, SENIOR",Y,135034.0,2016
CERTIFIED,"ORACLE AMERICA, INC.",MARKETING MANAGERS,PRODUCT MANAGER/STRATEGY-PRODDEV SNR DIRECTOR,Y,170082.0,2016
CERTIFIED,"ARKENA, INC.",MARKETING MANAGERS,SENIOR BUSINESS DEVELOPMENT EXECUTIVE,Y,113048.0,2016
CERTIFIED,HONEYWELL INTERNATIONAL INC.,MARKETING MANAGERS,SENIOR PRODUCT MANAGER,Y,112694.0,2016
CERTIFIED,"JAM INDUSTRIES USA, LLC",MARKETING MANAGERS,MARKETING MANAGER - ALLEN AND HEATH BRAND,Y,78208.0,2016
CERTIFIED,"CITRON PHARMA, LLC",MARKETING MANAGERS,DIRECTOR OF MARKETING,Y,147243.0,2016
CERTIFIED,"OCHO DIGITAL, INC",MARKETING MANAGERS,BRAND MARKETING MANAGER,N,55182.0,2016
CERTIFIED,"BE CONTENT GROUP, LLC",MARKETING MANAGERS,MARKETING MANAGER,N,60778.0,2016
CERTIFIED,SYNTEL CONSULTING INC.,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,Y,114088.0,2016
CERTIFIED,J&J CORPORATION,MARKETING MANAGERS,VICE PRESIDENT OF BUSINESS DEVELOPMENT,N,68370.0,2016
CERTIFIED,MECHOSHADE SYSTEMS INC.,MARKETING MANAGERS,MARKETING MANAGER,Y,147243.2,2016
CERTIFIED,"OCHO DIGITAL, INC",MARKETING MANAGERS,BRAND MARKETING MANAGER,N,55182.0,2016
CERTIFIED,"BMO HARRIS BANK, N.A.",MARKETING MANAGERS,"MANAGER, MARKETING-CONSUMER ACQUISITIONS",Y,94245.0,2016
CERTIFIED,EASTMAN CHEMICAL CO.,MARKETING MANAGERS,"MARKET DEVELOPMENT MANAGER, CE SPECIALTY PLASTIC PLATFORM",Y,138861.0,2016
CERTIFIED,CADUCEUS INTELLIGENCE CORPORATION,MARKETING MANAGERS,PRODUCT MANAGER,N,50482.0,2016
CERTIFIED,ABB INC.,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER (SALES TEAM),Y,111992.0,2016
CERTIFIED,NOVELIS INC.,MARKETING MANAGERS,"SENIOR MANAGER, STRATEGY",Y,108222.0,2016
CERTIFIED,"CITRIX SYSTEMS, INC.",MARKETING MANAGERS,"DIRECTOR, PRICING",Y,149656.0,2016
WITHDRAWN,FABULOUS AND FIGHTING INC.,MARKETING MANAGERS,MARKETING MANAGER,Y,109242.0,2016
CERTIFIED,"FACEBOOK, INC.",MARKETING MANAGERS,PRODUCT MARKETING MANAGER,Y,140025.0,2016
CERTIFIED,SONY PICTURES HOME ENTERTAINMENT INC.,MARKETING MANAGERS,ACQUISITION MARKETING DIRECTOR,Y,113048.0,2016
CERTIFIED,AMGEN INC.,MARKETING MANAGERS,MARKETING MANAGER,Y,109138.0,2016
CERTIFIED,RETAIL MANAGEMENT SERVICS CORP,MARKETING MANAGERS,SENIOR MANAGER MARKETING TECHNOLOGY,Y,135013.0,2016
CERTIFIED,"MACHINE ZONE, INC.",MARKETING MANAGERS,MEDIA BUYING MANAGER,Y,164258.0,2016
CERTIFIED,"ALEX AND ANI, INC.",MARKETING MANAGERS,DIRECTOR OF DIGITAL MARKETING,Y,109242.0,2016
CERTIFIED,"SAINT-GOBAIN CERAMICS & PLASTICS, INC.",MARKETING MANAGERS,TECHNO-MARKETING PROJECT LEADER,Y,99000.0,2016
DENIED,MERIT TECHNOLOGIES LLC,MARKETING MANAGERS,ONLINE MARKETING MANAGER,Y,81577.6,2016
CERTIFIED,"CARSAVER MANAGEMENT, LLC",MARKETING MANAGERS,DIR. OF HISPANIC BUSINESS DEVELOPMENT & PARTNER RELATIONS,Y,118061.0,2016
CERTIFIED,"FACEBOOK, INC.",MARKETING MANAGERS,MARKETING MANAGER,Y,91875.0,2016
CERTIFIED,"WAL-MART ASSOCIATES, INC.",MARKETING MANAGERS,GROUP PRODUCT MANAGER,Y,164258.0,2016
CERTIFIED-WITHDRAWN,JETBLUE AIRWAYS,MARKETING MANAGERS,VICE PRESIDENT MARKETING,Y,223226.0,2016
CERTIFIED,RUPPERT SALES & ENGINEERING,MARKETING MANAGERS,BUSINESS DEVELOPMENT/PRODUCT MANAGER,N,57450.0,2016
CERTIFIED,STARBUCKS COFFEE COMPANY,MARKETING MANAGERS,VICE PRESIDENT OF E-COMMERCE,Y,170082.0,2016
CERTIFIED,"APPLE VACATIONS, LLC",MARKETING MANAGERS,VICE PRESIDENT PRODUCT DEVELOPMENT,Y,193856.0,2016
CERTIFIED,"COMSCORE, INC.",MARKETING MANAGERS,VICE PRESIDENT-PRODUCT MANAGMENT,Y,147243.0,2016
CERTIFIED,LINKEDIN CORPORATION,MARKETING MANAGERS,"SALES OPERATIONS MANAGER, SALES SOLUTIONS",Y,147243.0,2016
CERTIFIED,CHILDFUND INTERNATIONAL,MARKETING MANAGERS,"DIRECTOR, DIGITAL",Y,138466.0,2016
CERTIFIED,FABULOUS AND FIGHTING INC.,MARKETING MANAGERS,MARKETING MANAGER,Y,109242.0,2016
CERTIFIED,SAFEGRAPH INC.,MARKETING MANAGERS,PRODUCT MARKETING MANAGER,Y,113006.0,2016
CERTIFIED,WORLD LEARNING,MARKETING MANAGERS,DIGITAL MARKETING MANAGER,N,62504.0,2016
CERTIFIED,TECHNOGEN INC.,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,Y,93475.0,2016
CERTIFIED,"THE NUMBER ONE, INC.",MARKETING MANAGERS,BUSINESS MANAGER,N,66248.0,2016
CERTIFIED,"BARCO, INC.",MARKETING MANAGERS,STRATEGIC MARKETING MANAGER,Y,120432.0,2016
CERTIFIED,"CHANGE.ORG, INC.",MARKETING MANAGERS,PRODUCT MANAGER,Y,149656.0,2016
CERTIFIED,"CISCO SYSTEMS, INC.",MARKETING MANAGERS,PRODUCT MANAGER,Y,130537.0,2016
CERTIFIED,HUASCA INC,MARKETING MANAGERS,DIGITAL MARKETING DIRECTOR,N,60778.0,2016
CERTIFIED,ADVANCED BIONICS LLC,MARKETING MANAGERS,"SENIOR PRODUCT MANAGER, INTERNALS",Y,113048.0,2016
CERTIFIED,"ACMESOFT GLOBAL, INC.",MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,Y,85550.4,2016
WITHDRAWN,EXPONENTS INSTA USA INC,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER (VP),Y,81578.0,2016
CERTIFIED,"SUNRUN, INC.",MARKETING MANAGERS,DIRECTOR OF PRODUCTS,Y,149656.0,2016
CERTIFIED,MERIT TECHNOLOGIES LLC,MARKETING MANAGERS,E-COMMERCE MARKETING MANAGER,Y,81577.6,2016
CERTIFIED,"AUTOALERT, INC.",MARKETING MANAGERS,PRODUCT OWNER,Y,106330.0,2016
CERTIFIED,"T-MOBILE USA, INC.",MARKETING MANAGERS,BUSINESS ANALYSIS MANAGER,Y,95245.0,2016
DENIED,SIMON-KUCHER & PARTNERS STRATEGY & MARKETING CONSULTANTS LLC,MARKETING MANAGERS,"MANAGER, LIFE SCIENCES DIVISION",Y,140275.0,2016
CERTIFIED,SAFEGRAPH INC.,MARKETING MANAGERS,PRODUCT MARKETING MANAGER,Y,113006.0,2016
CERTIFIED,"SAP GLOBAL MARKETING, INC.",MARKETING MANAGERS,MARKETING MANAGER,Y,147243.0,2016
CERTIFIED,"CARECORE NATIONAL, LLC",MARKETING MANAGERS,VICE PRESIDENT OF PRODUCT INNOVATION,Y,114088.0,2016
CERTIFIED,SONY MOBILE COMMUNICATIONS (USA) INC.,MARKETING MANAGERS,BUSINESS INTELLIGENCE MANAGER,Y,113006.0,2016
CERTIFIED,"ARKENA, INC.",MARKETING MANAGERS,SENIOR BUSINESS DEVELOPMENT EXECUTIVE,Y,113048.0,2016
CERTIFIED,TROPICANA ENTERTAINMENT INC.,MARKETING MANAGERS,"VICE PRESIDENT, ONLINE AND INTERNET MARKETING",Y,154627.0,2016
CERTIFIED,"FOSSIL PARTNERS, L.P.",MARKETING MANAGERS,SENIOR CREATIVE DIRECTOR-SKAGEN,Y,173389.0,2016
CERTIFIED,"IMPAX LABORATORIES, INC.",MARKETING MANAGERS,"MANAGER, PORTFOLIO MANAGEMENT",Y,103813.0,2016
CERTIFIED,"ORACLE AMERICA, INC.",MARKETING MANAGERS,PRODUCT MANAGER/STRATEGY-PRODDEV,Y,218015.0,2016
CERTIFIED,EXPONENTS INSTA USA INC,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER (VP),Y,81578.0,2016
CERTIFIED,"LEO PHARMA, INC.",MARKETING MANAGERS,"PRODUCT MANAGER, PATIENT SOLUTIONS (AK)",Y,103854.0,2016
CERTIFIED,"ESSILOR OF AMERICA, INC.",MARKETING MANAGERS,"SENIOR MARKETING MANAGER, SERVICE MARKETING",Y,77300.0,2016
CERTIFIED,GROUPM WORLDWIDE INC.-MEC,MARKETING MANAGERS,"ASSOCIATE DIRECTOR, DIGITAL ANALYTICS, ANALYTICS AND INSIGHT",Y,109242.0,2016
CERTIFIED,DORAL LUXURY MOTORS LLC,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,N,60777.6,2016
CERTIFIED,SABRE GLBL INC.,MARKETING MANAGERS,SENIOR PRODUCT MANAGEMENT,Y,95368.0,2016
CERTIFIED,"TELERIK, INC.",MARKETING MANAGERS,SENIOR PRODUCT MARKETING MANAGER,Y,115100.0,2016
CERTIFIED,DIRECTV LATIN AMERICA LLC,MARKETING MANAGERS,"DIRECTOR, MARKETING",Y,147306.0,2016
CERTIFIED,SAUCE LABS INC.,MARKETING MANAGERS,PRODUCT MANAGER,Y,149656.0,2016
CERTIFIED,RAMBUS INC.,MARKETING MANAGERS,SR. PRODUCT MARKETING MANAGER,Y,164258.0,2016
CERTIFIED,ACXIOM CORPORATION,MARKETING MANAGERS,SENIOR PRODUCT MANAGER,Y,149656.0,2016
CERTIFIED,INTEL SECURITY PUBLIC SECTOR LLC,MARKETING MANAGERS,SOFTWARE SALES ACCOUNT REP,Y,121222.0,2016
CERTIFIED,"NIKE, INC.",MARKETING MANAGERS,SENIOR PRODUCT MANAGER,Y,120598.0,2016
CERTIFIED,"UNITI FASHION, LLC",MARKETING MANAGERS,DIRECTOR OF GLOBAL MARKETING & PLANNING,Y,185224.0,2016
CERTIFIED,EBAY INC.,MARKETING MANAGERS,"MANAGER, BUSINESS DEVELOPMENT 1",Y,109708.0,2016
CERTIFIED,SIMON-KUCHER & PARTNERS STRATEGY & MARKETING CONSULTANTS LLC,MARKETING MANAGERS,"MANAGER, LIFE SCIENCES DIVISION",Y,140275.0,2016
CERTIFIED,"FOSSIL PARTNERS, L.P.",MARKETING MANAGERS,SENIOR CREATIVE DIRECTOR-SKAGEN,Y,173389.0,2016
CERTIFIED,"NOMIS SOLUTIONS, INC.",MARKETING MANAGERS,VICE PRESIDENT OF PRODUCT MANAGEMENT,Y,186320.0,2016
CERTIFIED,"FEDEX CORPORATE SERVICES, INC.",MARKETING MANAGERS,MARKETING SPECIALIST ADVISOR,Y,79373.0,2016
CERTIFIED,"RETAIL CONVERGENCE.COM, LP",MARKETING MANAGERS,"DIRECTOR, BUSINESS ANALYTICS",Y,114300.0,2016
CERTIFIED,"NTT DATA, INC.",MARKETING MANAGERS,MARKETING MANAGER,Y,122262.0,2016
CERTIFIED,NEO@OGILVY LLC,MARKETING MANAGERS,ASSOCIATE DIRECTOR,Y,147243.0,2016
CERTIFIED,"VMWARE, INC.",MARKETING MANAGERS,PRODUCT MARKETING MANAGER,Y,118481.0,2016
CERTIFIED,"ROUX LABORATORIES, INC.",MARKETING MANAGERS,"BRAND MANAGER, CND - PROFESSIONAL BRANDS",Y,89419.0,2016
CERTIFIED,OERLIKON METCO (US) INC.,MARKETING MANAGERS,MARKETING DIRECTOR,Y,132766.0,2016
CERTIFIED,"NETFLIX, INC.",MARKETING MANAGERS,"DIRECTOR, CONTENT ACQUISITION - EUROPEAN MARKETS",Y,180669.0,2016
CERTIFIED,KICKSONFIRE.COM LLC,MARKETING MANAGERS,MARKETING MANAGER,Y,109241.6,2016
CERTIFIED,SWIFT FINANCIAL CORPORATION,MARKETING MANAGERS,MARKETING ANALYTICS EXECUTIVE,Y,98946.0,2016
CERTIFIED,WORLD FUEL SERVICES CORPORATION,MARKETING MANAGERS,BUNKER PROCUREMENT ANALYST,Y,93392.0,2016
CERTIFIED,APPIAN CORPORATION,MARKETING MANAGERS,"DIRECTOR, PRODUCT STRATEGY",Y,125008.0,2016
CERTIFIED,"NETAPP, INC.",MARKETING MANAGERS,"MANAGER, BUSINESS INTELLIGENCE",Y,131123.0,2016
CERTIFIED,"GENENTECH USA, INC.",MARKETING MANAGERS,"ANALYTICS MANAGER, MARKETING SCIENCE",Y,113006.0,2016
CERTIFIED,"GENENTECH USA, INC.",MARKETING MANAGERS,"FIELD OPS & INFO MGMT MANAGER, MARKETING",Y,113006.0,2016
CERTIFIED,"FRESENIUS KABI USA, LLC",MARKETING MANAGERS,"MANAGER, MARKETING",Y,110469.0,2016
CERTIFIED,"NEW RESOURCES COMPANIES, INC.",MARKETING MANAGERS,SENIOR CONSULTANT BUSINESS DEVELOPMENT,Y,150550.0,2016
CERTIFIED,"MARS, INCORPORATED",MARKETING MANAGERS,"GLDP MARKETING MANAGER, MY M&M'S",Y,104300.0,2016
WITHDRAWN,"PACIFIC GLOBAL LOGISTICS, INC.",MARKETING MANAGERS,MARKETING DIRECTOR,Y,81432.0,2016
CERTIFIED,AMAZON CORPORATE LLC,MARKETING MANAGERS,MARKETING SPECIALIST III,Y,143790.0,2016
CERTIFIED,EASTMAN CHEMICAL COMPANY,MARKETING MANAGERS,MARKET DEVELOPMENT MANAGER,Y,88150.0,2016
CERTIFIED,"PACIFIC GLOBAL LOGISTICS, INC.",MARKETING MANAGERS,MARKETING DIRECTOR,Y,81432.0,2016
CERTIFIED,SUVISANGAM INVESTMENT INC.,MARKETING MANAGERS,RESTAURANT DEVELOPMENT MANAGER,Y,93392.0,2016
CERTIFIED,EVRYTHNG INC,MARKETING MANAGERS,ENTERPRISE SALES  DIRECTOR,Y,147243.2,2016
CERTIFIED,"GRUPO VG, LLC",MARKETING MANAGERS,BUSINESS DEVELOPMENT SPECIALIST,N,60778.0,2016
CERTIFIED,"MONOTYPE IMAGING, INC.",MARKETING MANAGERS,PRODUCT MANAGEMENT DIRECTOR,Y,142605.0,2016
CERTIFIED,"IPSOS MMA, INC.",MARKETING MANAGERS,"SENIOR MANAGER, MARKETING ANALYTICS",Y,94245.0,2016
CERTIFIED,"GRUPO VG, LLC",MARKETING MANAGERS,BUSINESS DEVLOPMENT SPECIALIST,N,60777.6,2016
CERTIFIED,PUBLICIS INC,MARKETING MANAGERS,"VP, STRATEGY DIRECTOR",Y,147243.0,2016
CERTIFIED,CIRCUITRONIX LLC,MARKETING MANAGERS,INTERNATIONAL DIRECTOR OF MARKETING,Y,72093.0,2016
CERTIFIED,RALPH LAUREN CORPORATION,MARKETING MANAGERS,"MARKETING MANAGER, HOME",N,66300.0,2016
CERTIFIED,"ACMESOFT GLOBAL, INC.",MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,Y,85550.4,2016
CERTIFIED,VICE MEDIA LLC,MARKETING MANAGERS,"SENIOR VP, GLOBAL HEAD OF BUSINESS DEVELOPMENT",Y,223226.0,2016
CERTIFIED,EMBRACE INCORPORATED DBA 2REDBEANS,MARKETING MANAGERS,MARKETING MANAGER,Y,103813.0,2016
CERTIFIED,"TAIT NORTH AMERICA, INC.",MARKETING MANAGERS,GLOBAL SOLUTIONS ENABLEMENT MANAGER,Y,97800.0,2016
CERTIFIED,PUBLICIS INC,MARKETING MANAGERS,"VP, STRATEGY DIRECTOR",Y,147243.0,2016
CERTIFIED,"SIMON PROPERTY GROUP ADMINISTRATIVE SERVICES PARTNERSHIP, L.P.",MARKETING MANAGERS,"VP, BRAND MARKETING & CUSTOMER EXPERIENCE  PREMIUM OUTLETS",Y,203549.0,2016
CERTIFIED,CUMMINS INC.,MARKETING MANAGERS,MARKETING MANAGER,Y,86549.0,2016
CERTIFIED,"GUCCI GROUP WATCHES, INC.",MARKETING MANAGERS,"DIRECTOR OF SALES AND MARKETING, LATIN AMERICA",Y,146702.0,2016
CERTIFIED,WARRIOR SPORTS,MARKETING MANAGERS,SENIOR PRODUCT MANAGER - HOCKEY,Y,121555.0,2016
WITHDRAWN,"ACORDA THERAPEUTICS, INC.",MARKETING MANAGERS,DIRECTOR - PIPELINE MARKETING,Y,185224.0,2016
CERTIFIED,RENNSPORT IMPORTS LLC,MARKETING MANAGERS,MARKETING MANAGER,Y,85550.4,2016
CERTIFIED,LIFE TECHNOLOGIES CORPORATION,MARKETING MANAGERS,SENIOR PRODUCT MANAGER,Y,113006.0,2016
CERTIFIED,SANCTUM HEALTHCARE CORPORATION,MARKETING MANAGERS,MARKETING MANAGER,Y,81577.6,2016
CERTIFIED,SYNTEL INC,MARKETING MANAGERS,BUSINESS DEVELOPMENT MANAGER,Y,147243.0,2016
CERTIFIED,"ACORDA THERAPEUTICS, INC.",MARKETING MANAGERS,DIRECTOR - PIPELINE MARKETING,Y,185224.0,2016
CERTIFIED,"SIGHT MACHINE, INC.",MARKETING MANAGERS,DIRECTOR OF CUSTOMER DEVELOPMENT,Y,149656.0,2016
CERTIFIED,"MISUMI USA, INC.",MARKETING MANAGERS,DIE AND MOLD MANAGER,N,66248.0,2016
CERTIFIED,"CLOUD TECHNOLOGY PARTNERS, INC.",MARKETING MANAGERS,"DIRECTOR, ECOSYSTEM AND CHANNELS",Y,143790.0,2016
DENIED,JAY PEAK INC,MARKETING MANAGERS,MARKETING MANAGER,N,68765.0,2016
CERTIFIED,"OMNICELL, INC.",MARKETING MANAGERS,DIRECTOR INTERNATIONAL MARKETING,Y,164258.0,2016
CERTIFIED,"REVENTICS, INC.",MARKETING MANAGERS,VICE PRESIDENT,Y,126630.0,2016
CERTIFIED,"CALI COSMETICS, INC.",MARKETING MANAGERS,VICE PRESIDENT MARKETING,Y,109242.0,2016
CERTIFIED,VOSS USA INC.,MARKETING MANAGERS,GLOBAL SOCIAL MEDIA MANAGER,N,51300.0,2016
CERTIFIED,"HITSS, INC.",MARKETING MANAGERS,BUSINESS DEVELOPMENT DIRECTOR,Y,113006.0,2016
CERTIFIED,COTY INC.,MARKETING MANAGERS,"DIRECTOR, GLOBAL MARKETS",Y,147243.0,2016
CERTIFIED,COTY INC.,MARKETING MANAGERS,"MANAGER, GLOBAL TRADE MARKETING",Y,109242.0,2016
CERTIFIED,"T-MOBILE USA, INC.",MARKETING MANAGERS,SENIOR SEGMENT MARKETING MANAGER,Y,95245.0,2016
CERTIFIED,SEDNA INDUSTRIES INC.,MARKETING MANAGERS,VICE PRESIDENT AND CHIEF MARKETING OFFICER,Y,115003.0,2016
WITHDRAWN,"MARS, INCORPORATED",MARKETING MANAGERS,"GLDP MARKETING MANAGER, MY M&M'S",Y,98400.0,2016
CERTIFIED,CLEVELAND CLINIC,MARKETING MANAGERS,SENIOR PROGRAM ADMIN INTERNATIONAL OPERATIONS,Y,152110.0,2016
CERTIFIED,NCR CORPORATION,MARKETING MANAGERS,FINANCIAL HARDWARE PRODUCT MANAGER,Y,108222.0,2016
CERTIFIED,"NANT HEALTH, INC.",MARKETING MANAGERS,SENIOR DIGITAL MARKETING MANAGER,Y,72980.0,2016
WITHDRAWN,LIFE TECHNOLOGIES CORPORATION,MARKETING MANAGERS,SENIOR PRODUCT MANAGER,Y,113006.0,2016
WITHDRAWN,VERMONT EMPLOYMENT AGENCY LLC,MARKETING MANAGERS,DIRECTOR OF MARKETING AND BUSINESS DEVELOPMENT,Y,75026.0,2016
CERTIFIED,JAY PEAK INC,MARKETING MANAGERS,MARKETING MANAGER,N,68765.0,2016
CERTIFIED,HEWLETT PACKARD ENTERPRISE COMPANY,MARKETING MANAGERS,"DIRECTOR, SALES OPERATIONS",Y,230506.0,2016
CERTIFIED,KIMBERLY-CLARK WORLDWIDE INC.,MARKETING MANAGERS,"ASSOCIATE DIRECTOR, COMPETITIVE STRATEGY",Y,161803.0,2016
CERTIFIED,CARNEGIE MELLON UNIVERSITY,MARKETING MANAGERS,DIRECTOR OF MARKETING,Y,77522.0,2016
CERTIFIED,"CVS PHARMACY, INC.",MARKETING MANAGERS,"ADVISOR, RETAIL STRATEGIC PRODUCT DEVELOPMENT",Y,107765.0,2016
CERTIFIED,"ORACLE AMERICA, INC.",MARKETING MANAGERS,BUSINESS DEVELOPMENT SENIOR MANAGER SALES,Y,154592.0,2016
CERTIFIED,"VICEROY HOTEL MANAGEMENT, LLC",MARKETING MANAGERS,"SENIOR VICE PRESIDENT, COMMERCIAL",Y,180669.0,2016
CERTIFIED,"FORESCOUT TECHNOLOGIES, INC.",MARKETING MANAGERS,"DIRECTOR, STRATEGY & COMPETITIVE INSIGHTS",Y,164258.0,2016
CERTIFIED,VERMONT EMPLOYMENT AGENCY LLC,MARKETING MANAGERS,DIRECTOR OF MARKETING AND BUSINESS DEVELOPMENT,Y,75026.0,2016
CERTIFIED,CENGAGE LEARNING INC.,MARKETING MANAGERS,INTERNATIONAL MARKETING MANAGER,Y,108500.0,2016
CERTIFIED,NBCUNIVERSAL NETWORKS INTERNATIONAL SPANISH LATIN AMERICA LLC,MARKETING MANAGERS,DIRECTOR AFFILIATE MARKETING,Y,89419.0,2016
CERTIFIED,"TAIT NORTH AMERICA, INC.",MARKETING MANAGERS,GLOBAL SOLUTIONS ENABLEMENT MANAGER,Y,97800.0,2016
CERTIFIED,AMICORP SERVICES LTD. INC,MARKETING MANAGERS,ASSOCIATE COMMERCIAL OFFICER,Y,106000.0,2016
CERTIFIED,INGERSOLL RAND COMPANY,MARKETING MANAGERS,DIGITAL ADVERTISING MANAGER,Y,78957.0,2016
CERTIFIED,ELECTROLUX HOME PRODUCTS INC.,MARKETING MANAGERS,"SR. DIRECTOR, GLOBAL CONSUMER CARE",Y,165381.0,2016
CERTIFIED,"BLACKROCK CAPITAL MANAGEMENT, INC.",MARKETING MANAGERS,VICE PRESIDENT,Y,89440.0,2016
CERTIFIED,"MUNDO INFINITO, INC.",MARKETING MANAGERS,BUSINESS DEVELOPMENT ANALYST,N,60778.0,2016
